Steps,Environment/Cumulative Reward
5,-100
10,-47.6
15,-15.4
20,-16.6
25,12.4
30,55.4
35,67.8
40,55
45,63.8
50,77
55,66.6
60,70.2
65,77.8
70,78.2
75,73.4
80,77.8
85,73.4
90,74.6
95,77.8
100,76.6
105,79
110,79.4
115,78.2
120,75
125,79
130,78.6
135,74.2
140,78.2
145,79.8
150,78.2
155,75.8
160,74.2
165,78.6
170,75.4
175,76.6
180,79.8
185,77
190,78.6
195,75
200,73.4
205,79
210,78.6
215,75.8
220,75.8
225,78.6
230,77
235,77.8
240,79.4
245,80.2
250,76.2
255,81
260,77.8
265,81
270,77.4
275,79.4
280,79.8
285,76.2
290,75.8
295,76.2
300,77
305,77.4
310,76.2
315,77.4
320,75.4
325,76.2
330,72.6
335,78.2
340,79.4
345,80.2
350,77
355,77.8
360,80.6
365,76.6
370,77.4
375,77.8
380,80.2
385,75.8
390,78.2
395,74.6
400,76.6
405,76.2
410,77
415,76.6
420,72.6
425,79
430,75
435,79
440,75.4
445,79.4
450,75.4
455,79.4
460,75.4
465,77.4
470,79.4
475,79.4
480,79.8
485,78.2
490,78.2
495,75.4
500,78.2
505,76.2
510,78.6
515,79.4
520,79
525,76.2
530,79
535,77
540,77.8
545,78.2
550,81
555,79
560,77.4
565,76.6
570,79
575,72.6
580,78.6
585,77.4
590,75.8
595,77.8
600,79.4
605,76.6
610,77.4
615,76.2
620,76.6
625,78.2
630,77
635,75
640,78.2
645,78.2
650,75.8
655,81
660,76.6
665,79.4
670,79.4
675,78.6
680,76.2
685,79.4
690,78.2
695,75.8
700,78.2
705,77.4
710,77.8
715,79.4
720,75.4
725,77.4
730,77.4
735,78.6
740,73.8
745,79.4
750,72.6
755,75.4
760,74.6
765,75
770,78.6
775,76.6
780,80.2
785,77.4
790,78.2
795,78.2
800,79
805,79
810,77
815,75.8
820,74.6
825,79
830,76.6
835,75.4
840,78.2
845,77
850,78.2
855,77.4
860,76.2
865,78.6
870,77
875,78.6
880,78.2
885,75.8
890,80.2
895,74.6
900,77.4
905,76.6
910,75.4
915,75.8
920,77.8
925,77
930,79.4
935,75
940,77.8
945,77.4
950,76.2
955,77
960,77.8
965,79.8
970,77.4
975,80.6
980,80.6
985,74.2
990,74.2
995,78.2
1000,74.6
1005,77.8
1010,77.8
1015,78.2
1020,78.6
1025,78.6
1030,79.8
1035,78.2
1040,77.4
1045,77
1050,77.8
1055,76.2
1060,79.4
1065,79.8
1070,76.6
1075,77.4
1080,75.4
1085,81.8
1090,73.8
1095,79.8
1100,72.2
1105,79.4
1110,77.4
1115,76.2
1120,77.4
1125,75.8
1130,75.8
1135,73.4
1140,78.2
1145,79.4
1150,78.6
1155,79.8
1160,78.6
1165,77.8
1170,78.6
1175,75.4
1180,74.2
1185,79
1190,77
1195,79.4
1200,78.6
1205,77.8
1210,75.8
1215,75
1220,76.6
1225,79.4
1230,79
1235,77.4
1240,78.2
1245,79.4
1250,76.6
1255,73.4
1260,78.6
1265,76.2
1270,78.6
1275,79
1280,77
1285,78.2
1290,79.4
1295,78.6
1300,79
1305,77.4
1310,77.8
1315,77.4
1320,77.8
1325,76.6
1330,75.4
1335,78.6
1340,75.4
1345,76.6
1350,80.6
1355,75.8
1360,78.6
1365,78.2
1370,79.4
1375,77.4
1380,77.8
1385,78.6
1390,73
1395,77.8
1400,79.4
1405,79
1410,76.2
1415,75
1420,79
1425,72.6
1430,76.6
1435,77
1440,79.8
1445,76.2
1450,74.6
1455,76.6
1460,74.2
1465,78.2
1470,79
1475,77
1480,78.6
1485,76.6
1490,77.8
1495,79
1500,77.8
1505,78.2
1510,78.6
1515,78.2
1520,76.2
1525,74.6
1530,78.2
1535,78.2
1540,73.8
1545,75.4
1550,79.4
1555,75
1560,79
1565,80.2
1570,78.6
1575,78.2
1580,75
1585,75
1590,77.8
1595,82.2
1600,76.2
1605,75
1610,77.8
1615,76.2
1620,77.4
1625,79.4
1630,78.6
1635,79.8
1640,77.8
1645,78.2
1650,76.2
1655,75.8
1660,76.6
1665,72.6
1670,79.4
1675,77.8
1680,77
1685,81
1690,77.4
1695,76.6
1700,75.8
1705,81.8
1710,78.6
1715,76.6
1720,77.8
1725,81
1730,77.4
1735,70.6
1740,75.8
1745,80.6
1750,77.8
1755,78.2
1760,78.6
1765,75.4
1770,75.4
1775,79.4
1780,76.6
1785,76.2
1790,76.2
1795,79.8
1800,73.4
1805,75.8
1810,76.6
1815,80.6
1820,76.6
1825,79.8
1830,77.4
1835,79.4
1840,76.6
1845,77.8
1850,80.2
1855,77.4
1860,77.4
1865,76.2
1870,78.2
1875,73.8
1880,78.6
1885,75
1890,81
1895,80.2
1900,78.6
1905,79.4
1910,77
1915,70.6
1920,76.6
1925,74.6
1930,79
1935,76.6
1940,77.8
1945,72.2
1950,77.4
1955,77.8
1960,79
1965,80.2
1970,77
1975,77.8
1980,77.8
1985,79.4
1990,78.6
1995,75.4
2000,77
