Steps,Environment/Cumulative Reward
5,-106.8
10,-106.4
15,-79
20,-125
25,-35
30,-33
35,-65.8
40,-90
45,-29.2
50,-84.8
55,-108.4
60,-51
65,-109.8
70,-50.2
75,12.8
80,20.4
85,-36.8
90,-5.8
95,44.4
100,64.6
105,90.6
110,-71
115,43
120,92.8
125,85
130,11.8
135,47.2
140,82.2
145,87.6
150,52
155,90
160,87.2
165,72.8
170,49
175,82.2
180,47.6
185,91.2
190,82.4
195,49.2
200,83.4
205,82.8
210,48.4
215,13.2
220,48.8
225,89
230,49.6
235,-39.2
240,44
245,87.4
250,43.6
255,47
260,88.8
265,47.2
270,92.2
275,46.2
280,47.8
285,90.2
290,50.4
295,6.8
300,79.2
305,77.2
310,82
315,94.2
320,85.8
325,10.2
330,46.2
335,87.4
340,83.4
345,92
350,87.6
355,85.6
360,92.2
365,88.6
370,86.2
375,89
380,17.2
385,87.6
390,88.6
395,83.6
400,88.8
405,85.4
410,49.4
415,86.6
420,39.8
425,88.2
430,50.4
435,52.2
440,45.2
445,90.6
450,90.6
455,88.6
460,87.8
465,86
470,-38.6
475,-73.2
480,0.8
485,-8.4
490,85.6
495,94
500,93.2
505,49.6
510,44.4
515,6.4
520,49.4
525,81.2
530,45.6
535,54.4
540,89
545,86.4
550,91.4
555,89.6
560,46.6
565,5
570,90
575,91.2
580,47
585,79.8
590,50
595,91
600,92.4
605,36.2
610,18.4
615,85
620,29.6
625,78.6
630,49
635,86.4
640,69.8
645,79
650,43.4
655,50.2
660,87.4
665,90.8
670,81.6
675,87.8
680,40.2
685,88.4
690,89.6
695,79.4
700,51.6
705,81.2
710,83.8
715,82.2
720,47
725,52.8
730,79.4
735,45.4
740,87.8
745,86
750,80
755,-3
760,88.6
765,49.2
770,90
775,90.2
780,91.6
785,84
790,89.2
795,88.4
800,8.8
805,47.4
810,86.8
815,79.2
820,51.4
825,91
830,87.4
835,90.4
840,47.6
845,90.2
850,88.4
855,85
860,87.6
865,85.6
870,87
875,93.6
880,-24
885,85.2
890,93
895,88.4
900,52.6
905,47.6
910,88.6
915,51.4
