Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.6093727,0.14200799,499.0,-1.000000074505806,-1.000000074505806,1.0
20000,1.6093673,0.15626389,499.0,-1.000000074505806,-1.000000074505806,1.0
30000,1.6036153,0.09911397,499.0,-1.000000074505806,-1.000000074505806,1.0
40000,1.6021671,0.0955388,499.0,-1.000000074505806,-1.000000074505806,1.0
50000,1.59019,0.052607827,496.9375,-1.0018824268789852,-1.0018824268789852,1.0
60000,1.5817503,0.029546607,499.0,-1.000000074505806,-1.000000074505806,1.0
70000,1.5805901,0.013816702,499.0,-1.000000074505806,-1.000000074505806,1.0
80000,1.5822158,-0.009813775,499.0,-1.000000074505806,-1.000000074505806,1.0
90000,1.5818243,-0.014168333,499.0,-1.000000074505806,-1.000000074505806,1.0
100000,1.5883865,-0.022357095,499.0,-1.000000074505806,-1.000000074505806,1.0
110000,1.5910265,-0.022069415,499.0,-1.000000074505806,-1.000000074505806,1.0
120000,1.5808814,-0.029254843,499.0,-1.000000074505806,-1.000000074505806,1.0
130000,1.58285,-0.029616186,499.0,-1.000000074505806,-1.000000074505806,1.0
140000,1.5777801,-0.033359326,499.0,-1.000000074505806,-1.000000074505806,1.0
150000,1.5794408,-0.034838248,499.0,-1.000000074505806,-1.000000074505806,1.0
160000,1.5709244,-0.035478935,499.0,-1.000000074505806,-1.000000074505806,1.0
170000,1.5665622,-0.037151624,499.0,-1.000000074505806,-1.000000074505806,1.0
180000,1.5581713,-0.037937485,499.0,-1.000000074505806,-1.000000074505806,1.0
190000,1.5431094,-0.038760353,499.0,-1.000000074505806,-1.000000074505806,1.0
200000,1.5248638,-0.03905446,499.0,-1.000000074505806,-1.000000074505806,1.0
210000,1.4988124,-0.039902177,485.875,-0.9798750719055533,-0.9798750719055533,1.0
220000,1.4914067,-0.039851688,499.0,-0.999916740693152,-0.999916740693152,1.0
230000,1.4665514,-0.03997442,499.0,-0.9998432108584572,-0.9998432108584572,1.0
240000,1.4650939,-0.04046624,499.0,-0.9999570635057264,-0.9999570635057264,1.0
250000,1.4523063,-0.039940715,499.0,-0.999916740693152,-0.999916740693152,1.0
260000,1.4503549,-0.04003405,499.0,-0.999916740693152,-0.999916740693152,1.0
270000,1.4458447,-0.03965439,499.0,-0.9998432108584572,-0.9998432108584572,1.0
280000,1.4526514,-0.039644215,499.0,-0.9999570635057264,-0.9999570635057264,1.0
290000,1.4545842,-0.039750896,499.0,-0.999916740693152,-0.999916740693152,1.0
300000,1.448939,-0.039519623,499.0,-0.999916740693152,-0.999916740693152,1.0
310000,1.4363259,-0.03906003,499.0,-0.9998432108584572,-0.9998432108584572,1.0
320000,1.4192365,-0.039754014,499.0,-0.9999570635057264,-0.9999570635057264,1.0
330000,1.421718,-0.039881907,499.0,-0.999916740693152,-0.999916740693152,1.0
340000,1.397702,-0.03972608,499.0,-0.999916740693152,-0.999916740693152,1.0
350000,1.3938152,-0.039593887,499.0,-0.9998432108584572,-0.9998432108584572,1.0
360000,1.3928403,-0.039561123,498.3225806451613,-1.0017635154147302,-1.0017635154147302,1.0
370000,1.3977062,-0.039528713,499.0,-0.9998750733211637,-0.9998750733211637,1.0
380000,1.412169,-0.039764695,499.0,-0.9998750733211637,-0.9998750733211637,1.0
390000,1.4059335,-0.04015299,499.0,-0.9998039945083506,-0.9998039945083506,1.0
400000,1.4192694,-0.040242434,499.0,-0.9999140520249644,-0.9999140520249644,1.0
410000,1.4339145,-0.04071073,499.0,-0.9998750733211637,-0.9998750733211637,1.0
420000,1.4600495,-0.040626563,499.0,-0.9998750733211637,-0.9998750733211637,1.0
430000,1.4316067,-0.04030458,499.0,-0.9998039945083506,-0.9998039945083506,1.0
440000,1.4421928,-0.04032018,499.0,-0.9999140520249644,-0.9999140520249644,1.0
450000,1.4588662,-0.04030914,499.0,-0.9998750733211637,-0.9998750733211637,1.0
460000,1.46186,-0.040403105,494.1764705882353,-0.9960000716588077,-0.9960000716588077,1.0
470000,1.4312024,-0.040730752,499.0,-0.9998750733211637,-0.9998750733211637,1.0
480000,1.4264928,-0.04062895,495.5806451612903,-0.9607312549506465,-0.9607312549506465,1.0
490000,1.4620728,-0.03842615,499.0,-0.9998334059491754,-0.9998334059491754,1.0
500000,1.467824,-0.037878163,476.05882352941177,-0.9673333995872073,-0.9673333995872073,1.0
510000,1.4873321,-0.03810064,485.6,-0.9276667341589928,-0.9276667341589928,1.0
520000,1.503498,-0.03826691,494.53846153846155,-0.9946154562326578,-0.9946154562326578,1.0
530000,1.4986966,-0.03874263,487.3333333333333,-0.9816852543089125,-0.9816852543089125,1.0
540000,1.4968088,-0.038657688,494.7647058823529,-0.9968039901817546,-0.9968039901817546,1.0
550000,1.4943873,-0.038342908,472.95454545454544,-0.8652879439971664,-0.8652879439971664,1.0
560000,1.5096295,-0.037957277,487.9583333333333,-0.9899028477569422,-0.9899028477569422,1.0
570000,1.4987608,-0.038407005,482.1578947368421,-0.9137222891052564,-0.9137222891052564,1.0
580000,1.4918736,-0.037620235,467.8421052631579,-0.8499500669538975,-0.8499500669538975,1.0
590000,1.4717695,-0.03762085,437.7083333333333,-0.6723056125144163,-0.6723056125144163,1.0
600000,1.4374847,-0.035006266,486.82608695652175,-0.9922174597563951,-0.9922174597563951,1.0
610000,1.4355054,-0.035478786,432.1904761904762,-0.6889206979955945,-0.6889206979955945,1.0
620000,1.4281944,-0.03671195,446.0869565217391,-0.7653333964672956,-0.7653333964672956,1.0
630000,1.4164222,-0.034720145,425.8,-0.7194359577619113,-0.7194359577619113,1.0
640000,1.3810773,-0.031942695,434.59090909090907,-0.8518030907620083,-0.8518030907620083,1.0
650000,1.3737942,-0.03233071,429.40909090909093,-0.6914546063000505,-0.6914546063000505,1.0
660000,1.3416393,-0.036000405,432.4782608695652,-0.7526377407105073,-0.7526377407105073,1.0
670000,1.3441131,-0.03609126,414.68,-0.6460267263650894,-0.6460267263650894,1.0
680000,1.3305779,-0.038565,412.4,-0.7256933933496476,-0.7256933933496476,1.0
690000,1.3235005,-0.037218403,424.82608695652175,-0.6755152070386843,-0.6755152070386843,1.0
700000,1.3108778,-0.040110003,410.32,-0.5779744137365085,-0.5779744137365085,1.0
710000,1.2957022,-0.040603157,426.45454545454544,-0.589863692494956,-0.589863692494956,1.0
