Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,0.3035963,357.6666666666667,92.29699862003326,92.29699862003326,1.0
20000,1.4172404,0.46200404,559.2,87.35525008663535,87.35525008663535,1.0
30000,1.415017,0.43928832,730.875,86.8094991594553,86.8094991594553,1.0
40000,1.411117,0.5223657,709.2857142857143,86.29521524054664,86.29521524054664,1.0
50000,1.4100254,0.3952094,506.4,92.23019878864288,92.23019878864288,1.0
60000,1.4086136,0.5256625,516.8,89.92840141057968,89.92840141057968,1.0
70000,1.4080215,0.18531695,423.5,89.50900343060493,89.50900343060493,1.0
80000,1.4080116,-0.07173899,1626.3333333333333,26.398672342300415,26.398672342300415,1.0
90000,1.4082384,-0.419694,2363.0,-14.136318961779276,-14.136318961779276,1.0
100000,1.4083457,-0.6452941,632.5,89.17000040411949,89.17000040411949,1.0
110000,1.407173,-0.59342253,1378.5,53.95975689589977,53.95975689589977,1.0
120000,1.4061047,-0.52186334,1269.0,47.805755734443665,47.805755734443665,1.0
130000,1.4054301,-0.266646,855.25,68.25712790340185,68.25712790340185,1.0
140000,1.4047372,-0.23668943,305.2,90.29229990839958,90.29229990839958,1.0
150000,1.4039329,-0.6479154,304.0,90.2336686982049,90.2336686982049,1.0
160000,1.401999,-0.11805082,201.14285714285714,93.55557209253311,93.55557209253311,1.0
170000,1.3991939,-0.76973546,165.9090909090909,94.88036294416948,94.88036294416948,1.0
180000,1.3973619,-0.13941942,201.8235294117647,91.7424713864046,91.7424713864046,1.0
190000,1.3962694,-0.0076121762,139.55555555555554,95.6009456647767,95.6009456647767,1.0
200000,1.3948711,0.011750285,138.68421052631578,95.34557952065217,95.34557952065217,1.0
210000,1.3930287,0.10076736,130.47619047619048,96.31409983336926,96.31409983336926,1.0
220000,1.3913293,0.37601218,110.72727272727273,96.59873932600021,96.59873932600021,1.0
230000,1.3903368,0.42841968,107.24,96.90348143577576,96.90348143577576,1.0
240000,1.3893188,-0.02183812,127.47368421052632,95.40840075016021,95.40840075016021,1.0
250000,1.3884333,0.46729767,114.68181818181819,95.72786981385687,95.72786981385687,1.0
260000,1.3879702,0.3520107,105.04347826086956,96.61956593264703,96.61956593264703,1.0
270000,1.3856759,1.1162606,95.48148148148148,97.28185349702835,97.28185349702835,1.0
280000,1.384046,0.90994495,103.41666666666667,96.39879176020622,96.39879176020622,1.0
290000,1.3824006,1.6930273,94.78571428571429,97.06485715082714,97.06485715082714,1.0
300000,1.3808192,2.3897734,86.75,97.17416148993277,97.17416148993277,1.0
310000,1.3802775,2.630028,82.13333333333334,97.52977448894131,97.52977448894131,1.0
320000,1.3804436,2.6120713,90.07142857142857,97.23749976711613,97.23749976711613,1.0
330000,1.3803328,3.6082819,78.1470588235294,97.42936493772449,97.42936493772449,1.0
340000,1.3792561,3.7369611,76.28571428571429,97.61288207418778,97.61288207418778,1.0
350000,1.3790076,4.1714168,69.05714285714286,97.82624367926572,97.82624367926572,1.0
360000,1.3786105,4.3189254,65.64102564102564,98.0448738260147,98.0448738260147,1.0
370000,1.3776617,4.7982454,62.26190476190476,98.27821453412373,98.27821453412373,1.0
380000,1.3772407,4.623137,64.55555555555556,97.83588948183589,97.83588948183589,1.0
390000,1.376946,4.009288,66.87179487179488,98.12200142481389,98.12200142481389,1.0
400000,1.3763906,3.848139,68.475,98.08637598901987,98.08637598901987,1.0
410000,1.375811,4.9532466,59.30952380952381,98.2241914045243,98.2241914045243,1.0
420000,1.375167,4.488915,57.43181818181818,98.16390767485596,98.16390767485596,1.0
430000,1.3747432,4.1607146,57.97674418604651,98.08738754012369,98.08738754012369,1.0
440000,1.3742589,4.281585,57.93478260869565,98.26778795871328,98.26778795871328,1.0
450000,1.3739146,3.6391854,54.577777777777776,98.35020054976145,98.35020054976145,1.0
460000,1.3737363,4.446173,55.93617021276596,98.27668207249742,98.27668207249742,1.0
470000,1.3736184,4.2990694,54.93181818181818,98.40061494437131,98.40061494437131,1.0
480000,1.3736266,4.7535934,54.0,98.3478519713625,98.3478519713625,1.0
490000,1.3737123,5.0961633,54.125,98.37070891757806,98.37070891757806,1.0
500000,1.3737589,5.0881104,56.02173913043478,98.05702272521125,98.05702272521125,1.0
