Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,-3.4850125,2.875538,563.6296296296297,-281.9259259259259,-281.9259259259259,1.0
30000,16.7319,0.25013703,None,None,None,1.0
40000,17.778347,1.6497823e-05,749.0,-656.3333333333334,-656.3333333333334,1.0
50000,14.261697,1.6497823e-05,None,None,None,1.0
60000,13.859794,1.6497823e-05,749.0,-630.0,-630.0,1.0
70000,12.48626,1.6497823e-05,None,None,None,1.0
80000,12.224136,1.6497823e-05,749.0,-630.0,-630.0,1.0
90000,11.8899145,1.6497823e-05,None,None,None,1.0
100000,11.800246,1.6497823e-05,749.0,-630.0,-630.0,1.0
110000,8.581209,1.6497823e-05,None,None,None,1.0
120000,7.3952475,1.6497823e-05,749.0,-630.0,-630.0,1.0
130000,6.463505,1.6497823e-05,None,None,None,1.0
140000,6.0281105,1.6497823e-05,749.0,-630.0,-630.0,1.0
150000,4.7292705,1.6497823e-05,None,None,None,1.0
160000,3.968334,1.6497823e-05,749.0,-630.0,-630.0,1.0
170000,3.764524,1.6497823e-05,None,-630.0,-630.0,1.0
180000,3.616706,1.6497823e-05,749.0,-630.0,-630.0,1.0
190000,2.8244743,1.6497823e-05,749.0,-630.0,-630.0,1.0
200000,2.118147,1.6497823e-05,749.0,-630.0,-630.0,1.0
210000,1.8898749,1.6497825e-05,749.0,-630.0,-630.0,1.0
220000,1.6402974,1.6497823e-05,749.0,-630.0,-630.0,1.0
230000,0.995509,1.6497823e-05,749.0,-630.0,-630.0,1.0
240000,0.12937582,1.6497823e-05,749.0,-630.0,-630.0,1.0
250000,-0.20347153,1.6497823e-05,749.0,-630.0,-630.0,1.0
260000,-0.7563367,1.6497823e-05,749.0,-630.0,-630.0,1.0
270000,-1.3701271,1.6497823e-05,749.0,-630.0,-630.0,1.0
280000,-2.645849,1.6497823e-05,749.0,-630.0,-630.0,1.0
290000,-2.7003074,1.6497823e-05,749.0,-630.0,-630.0,1.0
300000,-2.8446853,1.6497823e-05,749.0,-630.0,-630.0,1.0
310000,-3.063061,1.6497823e-05,749.0,-630.0,-630.0,1.0
320000,-3.8304925,1.6497823e-05,749.0,-630.0,-630.0,1.0
330000,-3.986764,1.6497823e-05,749.0,-630.0,-630.0,1.0
340000,-4.7801423,1.6497823e-05,749.0,-630.0,-630.0,1.0
350000,-4.843132,1.6497823e-05,749.0,-630.0,-630.0,1.0
360000,-5.3105807,1.6497823e-05,749.0,-630.0,-630.0,1.0
370000,-5.3313317,1.6497823e-05,749.0,-630.0,-630.0,1.0
