Steps,Policy/Extrinsic Value Estimate,Policy/Entropy,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,2.963963,2.8753164,629.2962962962963,-367.8888888888889,-367.8888888888889,1.0
30000,2.0853012,2.8725219,522.5,-236.5,-236.5,1.0
40000,2.1877408,2.870774,632.8695652173913,-357.69565217391306,-357.69565217391306,1.0
50000,1.7261693,2.8620274,542.2307692307693,-277.1666666666667,-277.1666666666667,1.0
60000,1.2156647,2.8653474,638.2105263157895,-361.0,-361.0,1.0
70000,1.2657217,2.8420951,604.7894736842105,-341.05263157894734,-341.05263157894734,1.0
80000,0.60183775,2.8430393,617.9,-353.7,-353.7,1.0
90000,0.9543089,2.8344061,604.5217391304348,-343.8695652173913,-343.8695652173913,1.0
100000,0.6742409,2.832751,615.0,-347.1,-347.1,1.0
110000,0.5565543,2.8327792,600.2727272727273,-329.90909090909093,-329.90909090909093,1.0
120000,0.510864,2.831108,590.2352941176471,-308.7647058823529,-308.7647058823529,1.0
130000,0.09778637,2.8330333,630.1666666666666,-360.3333333333333,-360.3333333333333,1.0
140000,0.31257978,2.833609,618.2631578947369,-354.63157894736844,-354.63157894736844,1.0
150000,0.07580511,2.8363876,603.8888888888889,-328.5,-328.5,1.0
160000,-0.11224396,2.8386571,554.4,-275.8,-275.8,1.0
170000,0.0437062,2.840238,589.9411764705883,-311.0,-311.0,1.0
180000,0.0031009514,2.8462934,505.85,-221.2,-221.2,1.0
190000,-0.082335435,2.845219,547.5294117647059,-274.5882352941176,-274.5882352941176,1.0
200000,0.088101104,2.845955,557.9473684210526,-276.4736842105263,-276.4736842105263,1.0
210000,0.04230112,2.8526273,557.2105263157895,-277.3157894736842,-277.3157894736842,1.0
220000,0.055344004,2.866083,547.7058823529412,-267.47058823529414,-267.47058823529414,1.0
230000,0.059461024,2.865642,512.1,-230.9,-230.9,1.0
240000,0.03348223,2.859769,563.2631578947369,-283.8421052631579,-283.8421052631579,1.0
250000,-0.06744143,2.8589401,514.8421052631579,-241.57894736842104,-241.57894736842104,1.0
260000,-0.35022047,2.854993,514.7142857142857,-239.0,-239.0,1.0
270000,0.19854282,2.852773,554.375,-279.875,-279.875,1.0
280000,-0.10501328,2.8581603,524.7058823529412,-249.94117647058823,-249.94117647058823,1.0
290000,-0.088037826,2.8571963,555.7368421052631,-280.05263157894734,-280.05263157894734,1.0
300000,-0.23568586,2.8542442,521.3888888888889,-254.55555555555554,-254.55555555555554,1.0
310000,-0.070326164,2.850561,531.5,-262.27272727272725,-262.27272727272725,1.0
320000,-0.27163145,2.848165,488.05882352941177,-215.05882352941177,-215.05882352941177,1.0
330000,-0.31736416,2.8474748,557.375,-285.5625,-285.5625,1.0
340000,-0.27726352,2.8539286,553.4,-281.8,-281.8,1.0
350000,-0.14417638,2.8517597,520.4583333333334,-244.34782608695653,-244.34782608695653,1.0
360000,-0.42965296,2.8540647,472.7142857142857,-194.53333333333333,-194.53333333333333,1.0
370000,-0.37532163,2.8537767,547.8888888888889,-278.5882352941176,-278.5882352941176,1.0
380000,-0.24170029,2.8410196,524.9,-253.33333333333334,-253.33333333333334,1.0
390000,-0.29179472,2.8398004,548.2,-271.05,-271.05,1.0
400000,-0.5234617,2.8285754,524.2666666666667,-248.6,-248.6,1.0
410000,-0.49939388,2.830037,571.0,-298.55,-298.55,1.0
420000,-0.29063815,2.8334682,542.1,-262.95,-262.95,1.0
430000,-0.37868816,2.833419,542.2142857142857,-267.0,-267.0,1.0
440000,-0.29753324,2.8398454,557.0952380952381,-281.23809523809524,-281.23809523809524,1.0
450000,-0.3510321,2.8452826,529.421052631579,-249.68421052631578,-249.68421052631578,1.0
460000,-0.4744997,2.8411617,492.8888888888889,-213.11111111111111,-213.11111111111111,1.0
470000,-0.34885773,2.8341713,560.5238095238095,-280.3809523809524,-280.3809523809524,1.0
480000,-0.44398695,2.8332746,537.4285714285714,-260.7142857142857,-260.7142857142857,1.0
490000,-0.32049343,2.828226,561.3636363636364,-284.6818181818182,-284.6818181818182,1.0
500000,-0.34944764,2.8285913,543.8,-262.26666666666665,-262.26666666666665,1.0
510000,-0.3406873,2.8352585,555.2352941176471,-276.94117647058823,-276.94117647058823,1.0
520000,-0.21158649,2.8241665,537.1923076923077,-260.5,-260.5,1.0
530000,-0.41964194,2.8385558,489.6,-210.33333333333334,-210.33333333333334,1.0
540000,-0.4396536,2.8371444,515.578947368421,-237.52631578947367,-237.52631578947367,1.0
550000,-0.34050354,2.8261623,537.0454545454545,-257.0,-257.0,1.0
560000,-0.51804703,2.8271205,513.7777777777778,-235.27777777777777,-235.27777777777777,1.0
570000,-0.47073406,2.8305378,543.25,-262.0625,-262.0625,1.0
580000,-0.39631003,2.84073,511.04761904761904,-232.8095238095238,-232.8095238095238,1.0
590000,-0.42869377,2.8411458,536.1,-255.7,-255.7,1.0
600000,-0.52652115,2.8365188,525.7368421052631,-250.26315789473685,-250.26315789473685,1.0
610000,-0.62592673,2.8363128,548.0,-266.06666666666666,-266.06666666666666,1.0
620000,-0.49389642,2.8264294,552.5454545454545,-268.6818181818182,-268.6818181818182,1.0
630000,-0.62549937,2.8448536,533.6666666666666,-253.73333333333332,-253.73333333333332,1.0
640000,-0.49287295,2.83887,564.421052631579,-288.42105263157896,-288.42105263157896,1.0
650000,-0.5591109,2.8504934,556.7647058823529,-276.70588235294116,-276.70588235294116,1.0
660000,-0.43235517,2.8436344,567.95,-285.3,-285.3,1.0
670000,-0.48266834,2.8595634,527.6470588235294,-244.05882352941177,-244.05882352941177,1.0
680000,-0.41032794,2.854612,581.3684210526316,-295.72222222222223,-295.72222222222223,1.0
690000,-0.5740565,2.8494103,544.875,-268.29411764705884,-268.29411764705884,1.0
700000,-0.48986697,2.8486476,528.7894736842105,-247.6315789473684,-247.6315789473684,1.0
710000,-0.4769412,2.8393457,498.4736842105263,-214.68421052631578,-214.68421052631578,1.0
720000,-0.42886114,2.8443284,534.45,-255.35,-255.35,1.0
730000,-0.5324373,2.8464444,537.8888888888889,-261.88235294117646,-261.88235294117646,1.0
740000,-0.5174137,2.8505576,556.9,-275.15,-275.15,1.0
750000,-0.47152895,2.8509648,536.4375,-257.2352941176471,-257.2352941176471,1.0
760000,-0.40840328,2.8445287,550.0,-272.85714285714283,-272.85714285714283,1.0
770000,-0.46960083,2.8525095,548.5,-272.75,-272.75,1.0
780000,-0.4853461,2.8621356,503.57894736842104,-223.26315789473685,-223.26315789473685,1.0
790000,-0.38120264,2.856878,521.9047619047619,-246.33333333333334,-246.33333333333334,1.0
800000,-0.3585604,2.8557646,507.1666666666667,-229.55555555555554,-229.55555555555554,1.0
810000,-0.3455489,2.8555655,502.6363636363636,-226.4090909090909,-226.4090909090909,1.0
820000,-0.43071875,2.8533187,513.3888888888889,-241.72222222222223,-241.72222222222223,1.0
830000,-0.3909073,2.8442817,510.3333333333333,-233.1904761904762,-233.1904761904762,1.0
840000,-0.3617179,2.8384087,492.3636363636364,-213.72727272727272,-213.72727272727272,1.0
850000,-0.46359554,2.8415785,484.05882352941177,-206.0,-206.0,1.0
860000,-0.35396522,2.8385859,524.6315789473684,-250.73684210526315,-250.73684210526315,1.0
870000,-0.41479278,2.8321867,528.3888888888889,-257.0,-257.0,1.0
880000,-0.37643662,2.8226938,553.1428571428571,-282.23809523809524,-282.23809523809524,1.0
890000,-0.44894034,2.824904,530.8666666666667,-257.73333333333335,-257.73333333333335,1.0
900000,-0.39722136,2.823062,529.9565217391304,-251.04347826086956,-251.04347826086956,1.0
910000,-0.35181472,2.8295498,491.15,-208.73684210526315,-208.73684210526315,1.0
920000,-0.36348078,2.8311095,527.2777777777778,-254.3684210526316,-254.3684210526316,1.0
930000,-0.378288,2.8332014,514.0952380952381,-241.61904761904762,-241.61904761904762,1.0
940000,-0.49225718,2.8285458,493.44444444444446,-215.22222222222223,-215.22222222222223,1.0
950000,-0.44848934,2.8359962,529.5555555555555,-254.55555555555554,-254.55555555555554,1.0
960000,-0.3295912,2.8383796,518.0,-242.57142857142858,-242.57142857142858,1.0
970000,-0.33118674,2.8380787,504.35,-230.4,-230.4,1.0
980000,-0.39893082,2.8379645,527.7777777777778,-252.33333333333334,-252.33333333333334,1.0
990000,-0.41734332,2.842608,544.0,-273.70588235294116,-273.70588235294116,1.0
1000000,-0.42295703,2.840052,556.8888888888889,-280.22222222222223,-280.22222222222223,1.0
