Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,21.044052863436125,1.997217,0.0684326710816777,0.0684326710816777,1.0
20000,1.4189383,21.451685393258426,2.0067823,0.06726457399103139,0.06726457399103139,1.0
30000,1.4206065,22.40281030444965,0.6976461,0.07728337236533958,0.07728337236533958,1.0
40000,1.4207575,23.101941747572816,0.6168318,0.07021791767554479,0.07021791767554479,1.0
50000,1.4198787,26.542465753424658,0.3760419,0.1095890410958904,0.1095890410958904,1.0
60000,1.4196779,26.871866295264624,0.3431975,0.11142061281337047,0.11142061281337047,1.0
70000,1.4172916,26.512396694214875,0.27733806,0.2865013774104683,0.2865013774104683,1.0
80000,1.4166929,29.0,0.2580159,0.27844311377245506,0.27844311377245506,1.0
90000,1.4128633,26.484848484848484,0.24472883,0.45604395604395603,0.45604395604395603,1.0
100000,1.4116839,25.571428571428573,0.2459066,0.5390835579514824,0.5390835579514824,1.0
110000,1.4064113,20.639658848614072,0.3239189,0.7356076759061834,0.7356076759061834,1.0
120000,1.4041793,19.430041152263374,0.3495705,0.779835390946502,0.779835390946502,1.0
130000,1.3981755,16.243986254295532,0.47009966,0.8936535162950258,0.8936535162950258,1.0
140000,1.3950514,14.735849056603774,0.50999105,0.9292452830188679,0.9292452830188679,1.0
150000,1.3892436,12.813278008298756,0.6113777,0.9488950276243094,0.9488950276243094,1.0
160000,1.3858017,12.167325428194994,0.6466503,0.9749670619235836,0.9749670619235836,1.0
170000,1.3801687,10.904534606205251,0.6911328,0.9856972586412396,0.9856972586412396,1.0
180000,1.3761065,10.731220657276996,0.7095156,0.9894490035169988,0.9894490035169988,1.0
190000,1.3711387,10.0,0.74061024,0.9955995599559956,0.9955995599559956,1.0
200000,1.3667872,9.46806282722513,0.7631126,0.9989539748953975,0.9989539748953975,1.0
210000,1.3623163,9.113475177304965,0.77981013,0.9989878542510121,0.9989878542510121,1.0
220000,1.3576775,8.78962818003914,0.79640794,1.0,1.0,1.0
230000,1.3544112,8.856860809476801,0.7991706,1.0,1.0,1.0
240000,1.3503,8.428840716305372,0.8100512,1.0,1.0,1.0
250000,1.3470042,8.26598702502317,0.8138501,1.0,1.0,1.0
260000,1.3418845,8.039783001808319,0.81728834,1.0,1.0,1.0
270000,1.3397627,7.960573476702509,0.821187,1.0,1.0,1.0
280000,1.3357475,7.871111111111111,0.82724696,1.0,1.0,1.0
290000,1.3338462,7.580257510729614,0.8310227,1.0,1.0,1.0
300000,1.3292825,7.589500860585198,0.82971066,1.0,1.0,1.0
310000,1.3273762,7.36180904522613,0.83309776,1.0,1.0,1.0
320000,1.3216269,7.153344208809135,0.8338152,1.0,1.0,1.0
